"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Burnes, Corbin",669203,"MIL","FC","Cutter",1,18,"1706",55.4,"455","0.209","0.34","0.298",22.7,19.8,22.1,"0.245","0.385","0.324",34.1
"Javier, Cristian",664299,"HOU","FF","4-Seamer",0.7,12,"1682",58.4,"450","0.236","0.455","0.331",26.5,21.8,19,"0.234","0.491","0.345",41.3
"Webb, Logan",657277,"SF","CH","Changeup",2.1,28,"1324",41.6,"433","0.225","0.309","0.254",22.8,21.2,19.8,"0.234","0.319","0.257",44
"Strider, Spencer",675911,"ATL","FF","4-Seamer",0.1,1,"1819",58.7,"433","0.258","0.434","0.338",28.7,28.4,22.3,"0.239","0.417","0.319",40.1
"Steele, Justin",657006,"CHC","FF","4-Seamer",0.9,15,"1676",62.6,"429","0.275","0.393","0.33",20.3,19.1,19.9,"0.277","0.401","0.326",36.1
"Cole, Gerrit",543037,"NYY","FF","4-Seamer",1.7,29,"1739",53,"429","0.201","0.332","0.275",22.7,28.2,21.6,"0.223","0.403","0.305",45.7
"Gausman, Kevin",592332,"TOR","FF","4-Seamer",1,16,"1560",50.8,"411","0.243","0.409","0.316",17.2,26.5,24.6,"0.27","0.481","0.349",52.6
"Gallen, Zac",668678,"AZ","FF","4-Seamer",1.7,27,"1601",49.3,"405","0.237","0.358","0.289",19.2,22.7,21.7,"0.256","0.442","0.329",51.4
"Corbin, Patrick",571578,"WSH","SIFT","Sinker",-0.2,-2,"1212",41.5,"405","0.32","0.456","0.376",7.4,10.6,13.9,"0.309","0.464","0.363",44
"Valdez, Framber",664285,"HOU","SIFT","Sinker",0.8,11,"1375",46.6,"389","0.275","0.447","0.352",12.6,9,20.6,"0.304","0.501","0.387",49.7
"Bassitt, Chris",605135,"TOR","SIFT","Sinker",2.2,27,"1235",39.3,"374","0.223","0.338","0.295",14.4,16.3,19.2,"0.25","0.392","0.314",38.8
"Kopech, Michael",656629,"CWS","FF","4-Seamer",-0.3,-4,"1492",61.4,"369","0.244","0.462","0.396",26.4,21.1,20.7,"0.24","0.447","0.394",43.8
"Sears, JP",676664,"OAK","FF","4-Seamer",0.1,2,"1441",50.3,"369","0.256","0.478","0.365",21.7,23.6,17.8,"0.248","0.468","0.352",43.5
"Montgomery, Jordan",656756,"TEX","SIFT","Sinker",1.3,16,"1245",42.6,"362","0.255","0.374","0.319",14.1,14.9,18.2,"0.274","0.421","0.334",42.2
"Ryan, Joe",657746,"MIN","FF","4-Seamer",0.8,13,"1526",56.9,"357","0.24","0.457","0.316",28.7,33.6,23.2,"0.208","0.379","0.275",44
"Nelson, Ryne",669194,"AZ","FF","4-Seamer",-0.6,-7,"1285",54.6,"354","0.308","0.553","0.388",16.7,14.4,13.1,"0.294","0.555","0.387",47.4
"Ashcraft, Graham",668933,"CIN","FC","Cutter",0.1,1,"1229",52.9,"352","0.292","0.436","0.367",17,11.4,14.3,"0.29","0.418","0.357",39.9
"Waldichuk, Ken",686610,"OAK","FF","4-Seamer",-0.3,-4,"1387",54.3,"346","0.275","0.493","0.394",17.8,15.6,13.6,"0.25","0.465","0.368",42.6
"Snell, Blake",605483,"SD","FF","4-Seamer",0.3,5,"1541",48.6,"344","0.255","0.389","0.368",19.5,18.9,18.6,"0.283","0.492","0.401",43.4
"Singer, Brady",663903,"KC","SIFT","Sinker",-0.9,-12,"1336",51.1,"343","0.338","0.553","0.419",11.5,14,17.1,"0.302","0.51","0.38",49
"Peralta, Freddy",642547,"MIL","FF","4-Seamer",0.8,12,"1453",51.2,"340","0.213","0.387","0.297",29.2,31.5,20.7,"0.21","0.358","0.286",43.5
"Luzardo, Jesús",666200,"MIA","FF","4-Seamer",1.1,15,"1337",46.3,"338","0.229","0.382","0.316",19.8,19.8,18,"0.262","0.473","0.348",43.9
"Gore, MacKenzie",669022,"WSH","FF","4-Seamer",-0.2,-3,"1464",59.5,"338","0.279","0.503","0.378",21.6,22.2,17.5,"0.277","0.51","0.376",46.6
"Morton, Charlie",450203,"ATL","CUKC","Curveball",2,25,"1228",43.2,"334","0.177","0.258","0.242",42,37.1,26.4,"0.189","0.291","0.255",31.6
"Verlander, Justin",434378,"HOU","FF","4-Seamer",0.9,12,"1302",50,"334","0.235","0.417","0.322",18.1,16.5,18,"0.253","0.458","0.337",50.4
"Cease, Dylan",656302,"CWS","SL","Slider",0.8,10,"1260",38.6,"331","0.216","0.339","0.286",43.3,36,23.1,"0.216","0.318","0.273",43.2
"Williams, Trevor",592866,"WSH","FF","4-Seamer",-0.7,-8,"1133",43.2,"331","0.283","0.563","0.385",16.7,19.9,17.1,"0.274","0.537","0.371",40.9
"Cease, Dylan",656302,"CWS","FF","4-Seamer",-0.2,-3,"1408",43.2,"330","0.273","0.436","0.37",20.5,20.9,17.9,"0.245","0.394","0.339",40.5
"Smyly, Drew",592767,"CHC","CUKC","Curveball",-0.3,-4,"1186",49.4,"330","0.229","0.399","0.311",36,30,23.6,"0.194","0.307","0.248",24.5
"Heaney, Andrew",571760,"TEX","FF","4-Seamer",0,1,"1506",57.9,"327","0.236","0.431","0.348",25.6,25.4,17.8,"0.217","0.426","0.336",40.2
"Giolito, Lucas",608337,"CLE","FF","4-Seamer",-0.6,-8,"1338",41.9,"325","0.262","0.546","0.381",20,24.9,20.5,"0.264","0.51","0.37",50.2
"Oviedo, Johan",670912,"PIT","SL","Slider",1.1,12,"1095",36.7,"324","0.21","0.349","0.312",32.6,27.2,23.3,"0.222","0.352","0.305",36.6
"Lynn, Lance",458681,"LAD","FF","4-Seamer",-0.6,-9,"1376",43.4,"323","0.254","0.512","0.363",31.4,27.9,21.1,"0.25","0.496","0.349",46
"Singer, Brady",663903,"KC","SL","Slider",-0.2,-2,"1098",42,"321","0.241","0.398","0.301",33.2,25.2,22.1,"0.247","0.394","0.304",49.8
"Castillo, Luis",622491,"SEA","FF","4-Seamer",1.3,19,"1423",44.4,"320","0.165","0.384","0.282",33,32.8,21.1,"0.185","0.424","0.303",47.2
"Wheeler, Zack",554430,"PHI","FF","4-Seamer",1.2,16,"1366",43.3,"319","0.199","0.334","0.267",31.3,32,23.7,"0.2","0.334","0.261",43.1
"Miller, Bryce",682243,"SEA","FF","4-Seamer",0,1,"1224",58.4,"312","0.256","0.45","0.333",27.1,26.3,21.6,"0.253","0.461","0.332",40.6
"Gilbert, Logan",669302,"SEA","FF","4-Seamer",0,0,"1224",41.9,"312","0.28","0.491","0.358",17.7,17,16.7,"0.276","0.508","0.358",55
"Kirby, George",669923,"SEA","FF","4-Seamer",1.3,14,"1112",39.4,"306","0.234","0.392","0.288",28,28.4,21.7,"0.244","0.428","0.303",43.2
"Oviedo, Johan",670912,"PIT","FF","4-Seamer",-1,-12,"1169",39.2,"305","0.277","0.477","0.376",18.3,16.1,16.8,"0.275","0.471","0.371",47.2
"Megill, Tylor",656731,"NYM","FF","4-Seamer",-0.6,-7,"1245",55.7,"304","0.314","0.494","0.407",18.4,13.8,14.9,"0.309","0.543","0.408",48.6
"Gausman, Kevin",592332,"TOR","FS","Splitter",0.4,4,"1178",38.4,"303","0.201","0.307","0.266",43.2,41.9,23.8,"0.178","0.271","0.239",29.3
"Hendricks, Kyle",543294,"CHC","CH","Changeup",1.4,12,"867",41.1,"298","0.18","0.279","0.233",32.4,23.5,18.6,"0.206","0.287","0.236",17.8
"Cobb, Alex",502171,"SF","FS","Splitter",0.4,4,"971",38.7,"297","0.239","0.386","0.295",24.6,19.2,17.2,"0.275","0.427","0.315",44.5
"Elder, Bryce",693821,"ATL","SIFT","Sinker",0.1,2,"1075",37.7,"297","0.278","0.4","0.354",13.4,11.8,14.3,"0.299","0.436","0.366",45.7
"Walker, Taijuan",592836,"PHI","FS","Splitter",0.6,6,"943",33.2,"295","0.205","0.295","0.269",24.5,21.7,18.2,"0.231","0.339","0.289",44.9
"Dunning, Dane",641540,"TEX","SIFT","Sinker",1.9,17,"893",33.1,"294","0.246","0.354","0.309",8,17,18.7,"0.272","0.418","0.338",45.8
"Greene, Hunter",668881,"CIN","FF","4-Seamer",-1.2,-13,"1124",53.8,"292","0.268","0.524","0.394",24.8,26.7,20.3,"0.235","0.442","0.348",50
"Pivetta, Nick",601713,"BOS","FF","4-Seamer",0.6,7,"1206",50.6,"290","0.214","0.44","0.331",24.7,28.3,22.5,"0.227","0.425","0.329",48
"Manaea, Sean",640455,"SF","FF","4-Seamer",0.5,6,"1158",56.4,"288","0.239","0.392","0.324",23.2,27.4,18.9,"0.249","0.415","0.327",42.7
"Stroman, Marcus",573186,"CHC","SIFT","Sinker",0.1,1,"1022",46.4,"287","0.245","0.332","0.331",14.3,13.6,21.2,"0.288","0.4","0.346",46.7
"Gray, Jon",592351,"TEX","FF","4-Seamer",-2,-20,"1014",42.4,"287","0.346","0.551","0.423",17.9,18.1,17.4,"0.313","0.51","0.396",46.4
"Pérez, Martín",527048,"TEX","SIFT","Sinker",0.8,8,"953",42.9,"284","0.244","0.394","0.336",9.7,16.5,17.9,"0.261","0.433","0.348",40.8
"Bibee, Tanner",676440,"CLE","FF","4-Seamer",0.9,10,"1095",47.1,"284","0.243","0.348","0.312",19,19,18.1,"0.268","0.418","0.345",48.5
"Clevinger, Mike",605182,"CWS","FF","4-Seamer",0.3,3,"1001",47.7,"279","0.284","0.496","0.37",16.9,19.7,18.2,"0.248","0.458","0.336",43.1
"Strider, Spencer",675911,"ATL","SL","Slider",1.2,13,"1042",33.6,"272","0.151","0.266","0.221",55.6,51.1,33.5,"0.157","0.246","0.216",32.7
"Brown, Hunter",686613,"HOU","FF","4-Seamer",-0.3,-4,"1254",46.1,"267","0.271","0.511","0.386",22.3,25.5,19.9,"0.231","0.413","0.338",44.9
"Flaherty, Jack",656427,"BAL","FF","4-Seamer",-0.4,-5,"1097",41.6,"265","0.29","0.411","0.364",20.8,25.7,20.4,"0.245","0.38","0.335",38.6
"Bello, Brayan",678394,"BOS","SIFT","Sinker",0.8,7,"951",36.3,"264","0.278","0.435","0.365",16,12.5,15.3,"0.286","0.431","0.346",51.5
"Nola, Aaron",605400,"PHI","CUKC","Curveball",0,0,"977",31.6,"264","0.221","0.398","0.302",33.3,29.9,22.2,"0.22","0.367","0.273",30.4
"Steele, Justin",657006,"CHC","SL","Slider",0.3,3,"908",33.9,"263","0.217","0.346","0.269",31.1,33.8,20.7,"0.202","0.31","0.237",37.3
"Cobb, Alex",502171,"SF","SIFT","Sinker",0.4,4,"994",39.7,"263","0.28","0.435","0.36",12.9,19,15.6,"0.285","0.448","0.359",41.5
"Hill, Rich",448179,"SD","CUKC","Curveball",-1.5,-14,"913",36.1,"263","0.283","0.47","0.38",17.4,18.6,16.1,"0.286","0.463","0.365",38.5
"Houser, Adrian",605288,"MIL","SIFT","Sinker",0.2,2,"876",47.2,"260","0.296","0.396","0.338",12.9,18.8,21.2,"0.281","0.421","0.329",46.6
"Berríos, José",621244,"TOR","SIFT","Sinker",0.3,3,"925",31.5,"259","0.255","0.398","0.343",13.1,18.5,20.9,"0.274","0.457","0.354",36.4
"López, Pablo",641154,"MIN","FF","4-Seamer",0.6,6,"1043",34.5,"257","0.268","0.468","0.35",31.5,33.5,26.5,"0.219","0.387","0.3",44.5
"Mikolas, Miles",571945,"STL","SIFT","Sinker",-1.5,-12,"782",24.5,"255","0.343","0.555","0.414",8.5,12.9,15.5,"0.347","0.593","0.418",44.4
"Kremer, Dean",665152,"BAL","FF","4-Seamer",1.1,12,"1084",37.1,"254","0.252","0.409","0.325",26.2,26.8,17.8,"0.258","0.453","0.334",44.5
"Allen, Logan",671106,"CLE","FF","4-Seamer",-0.2,-2,"963",45.1,"254","0.257","0.482","0.365",17.7,17.3,17.1,"0.265","0.476","0.362",45.6
"Kershaw, Clayton",477132,"LAD","SL","Slider",2,18,"879",43.4,"254","0.167","0.338","0.265",36.2,31.1,25.6,"0.216","0.379","0.286",46.8
"Detmers, Reid",672282,"LAA","FF","4-Seamer",-0.9,-10,"1123",43.2,"252","0.291","0.505","0.383",21.2,20.2,17.4,"0.287","0.49","0.382",48
"Ober, Bailey",641927,"MIN","FF","4-Seamer",0.6,6,"1063",45.7,"252","0.232","0.425","0.314",27.7,25.8,18.3,"0.208","0.436","0.307",41.8
"Gibson, Kyle",502043,"BAL","SIFT","Sinker",0.2,1,"794",26.1,"251","0.289","0.459","0.371",11,15.5,18.9,"0.289","0.466","0.372",54.9
"Alcantara, Sandy",645261,"MIA","SIFT","Sinker",1.7,14,"790",29,"251","0.237","0.366","0.308",12.4,12.4,18.6,"0.292","0.469","0.367",39.2
"France, J.P.",641585,"HOU","FF","4-Seamer",-0.3,-2,"949",43.1,"250","0.308","0.481","0.395",10.6,10.4,11.8,"0.317","0.575","0.422",50.5
"Kikuchi, Yusei",579328,"TOR","FF","4-Seamer",0.2,3,"1269",45,"249","0.267","0.409","0.333",26.8,25.7,19.1,"0.234","0.395","0.307",46.9
"Kikuchi, Yusei",579328,"TOR","SL","Slider",1,8,"731",25.9,"249","0.225","0.396","0.302",30.2,29.7,24,"0.249","0.458","0.334",41.6
"Webb, Logan",657277,"SF","SIFT","Sinker",0.1,1,"1068",33.6,"248","0.313","0.481","0.376",10.4,15.3,21.2,"0.308","0.495","0.365",52.3
"Eflin, Zach",621107,"TB","SIFT","Sinker",1.4,12,"823",31.9,"246","0.259","0.315","0.295",12.9,25.2,26.2,"0.239","0.341","0.275",38.6
"Weaver, Luke",596133,"NYY","FF","4-Seamer",-1.3,-13,"980",43.4,"246","0.31","0.546","0.409",17.6,19.1,15.6,"0.285","0.495","0.372",47.4
"Smyly, Drew",592767,"CHC","SIFT","Sinker",-1.1,-11,"933",38.9,"246","0.314","0.6","0.426",17.3,15,15.9,"0.297","0.525","0.391",44.6
"Senga, Kodai",673540,"NYM","FF","4-Seamer",0.3,4,"1034",37,"245","0.243","0.397","0.337",17.4,24.9,20.2,"0.266","0.435","0.351",49.4
"Detmers, Reid",672282,"LAA","SL","Slider",0.3,3,"803",30.9,"243","0.236","0.336","0.291",33.8,30.9,23.4,"0.245","0.356","0.301",44.1
"Giolito, Lucas",608337,"CLE","CH","Changeup",0.1,1,"902",28.3,"242","0.209","0.442","0.33",35.2,26.9,21,"0.209","0.395","0.302",30.5
"Elder, Bryce",693821,"ATL","SL","Slider",0.7,8,"1007",35.3,"242","0.209","0.391","0.293",33.6,26.4,19.6,"0.215","0.377","0.285",42.6
"Abbott, Andrew",671096,"CIN","FF","4-Seamer",0.6,5,"949",50,"241","0.249","0.459","0.355",19.8,27,21.4,"0.255","0.463","0.359",51
"Rodriguez, Eduardo",593958,"DET","FF","4-Seamer",0.6,7,"1074",43.9,"241","0.278","0.431","0.34",22.2,20.7,19,"0.269","0.436","0.339",44.6
"Gomber, Austin",596295,"COL","FF","4-Seamer",-2,-19,"948",43.9,"240","0.346","0.659","0.465",11.8,8.8,11.2,"0.342","0.596","0.432",54.2
"Scherzer, Max",453286,"TEX","FF","4-Seamer",0.5,6,"1142",46.3,"240","0.255","0.458","0.34",23.8,18.8,16.9,"0.233","0.455","0.328",43
"Morton, Charlie",450203,"ATL","FF","4-Seamer",-1.3,-12,"898",31.6,"239","0.297","0.487","0.409",22.5,17.6,16.5,"0.297","0.504","0.402",46.8
"Junis, Jakob",596001,"SF","SL","Slider",0.6,5,"868",62.5,"239","0.216","0.369","0.284",32.5,32.2,24.4,"0.215","0.369","0.274",31.1
"Anderson, Tyler",542881,"LAA","FF","4-Seamer",-1.3,-12,"907",37.3,"239","0.301","0.566","0.418",19.3,11.7,10.6,"0.292","0.502","0.403",37.1
"Corbin, Patrick",571578,"WSH","SL","Slider",-0.6,-7,"1024",35,"237","0.233","0.461","0.339",39.7,27.4,19.9,"0.266","0.518","0.356",38.7
"Paxton, James",572020,"BOS","FF","4-Seamer",-0.1,-1,"943",55.8,"234","0.27","0.507","0.362",21.5,18.8,17.6,"0.261","0.463","0.343",43.5
"Garrett, Braxton",666129,"MIA","SIFT","Sinker",0.7,6,"786",31.7,"234","0.256","0.377","0.31",10.7,21.4,24,"0.26","0.384","0.309",48.8
"Gilbert, Logan",669302,"SEA","SL","Slider",1.7,15,"867",29.7,"233","0.211","0.349","0.273",32.2,22.7,21.7,"0.228","0.354","0.273",38.7
"Lyles, Jordan",543475,"KC","FF","4-Seamer",-0.2,-2,"859",30.5,"233","0.223","0.442","0.329",15.5,12.9,16.2,"0.252","0.479","0.348",37.4
"Matz, Steven",571927,"STL","SIFT","Sinker",0.8,8,"1046",56.1,"230","0.24","0.397","0.323",24.7,23,16.1,"0.225","0.351","0.296",40.8
"Rodriguez, Grayson",680570,"BAL","FF","4-Seamer",-0.6,-7,"1043",49.6,"229","0.342","0.535","0.409",24.1,23.6,16.8,"0.308","0.485","0.378",50.7
"Gray, Jon",592351,"TEX","SL","Slider",2,16,"802",33.5,"228","0.194","0.275","0.231",37,33.3,27.7,"0.192","0.285","0.232",34.5
"Eovaldi, Nathan",543135,"TEX","FF","4-Seamer",0.6,5,"831",37.2,"228","0.234","0.423","0.333",18.3,24.1,19.2,"0.257","0.452","0.347",46.9
"Bradley, Taj",671737,"TB","FF","4-Seamer",-0.6,-5,"819",45,"226","0.277","0.559","0.398",19.1,23.5,19.6,"0.263","0.496","0.37",46.2
"Berríos, José",621244,"TOR","SV","Slurve",0.6,5,"870",29.6,"225","0.216","0.357","0.27",30.5,28,21.8,"0.254","0.446","0.317",33.1
"Glasnow, Tyler",607192,"TB","FF","4-Seamer",0.1,1,"826",43.6,"225","0.24","0.413","0.337",24.7,26.7,24.2,"0.238","0.429","0.335",45.3
"Bird, Jake",656234,"COL","SIFT","Sinker",-0.3,-2,"827",59.5,"222","0.32","0.402","0.362",13.5,9,14.4,"0.302","0.42","0.361",47.5
"Seabold, Connor",657756,"COL","FF","4-Seamer",-2.2,-19,"850",54.4,"221","0.338","0.605","0.43",18.6,17.6,16.3,"0.283","0.509","0.367",47.8
"Ryan, Joe",657746,"MIN","FS","Splitter",-0.5,-4,"731",27.2,"220","0.242","0.415","0.308",21.3,21.4,16.8,"0.238","0.404","0.294",40.1
"Wacha, Michael",608379,"SD","CH","Changeup",1.6,12,"766",34.5,"219","0.207","0.346","0.26",35.9,32,20.8,"0.187","0.304","0.233",25.9
"Giolito, Lucas",608337,"CLE","SL","Slider",-0.9,-8,"901",28.2,"218","0.236","0.438","0.319",34.5,25.7,20.1,"0.233","0.4","0.297",40.5
"Ashcraft, Graham",668933,"CIN","SL","Slider",-0.7,-6,"869",37.4,"217","0.221","0.461","0.31",33.1,31.3,23.1,"0.222","0.421","0.299",30.9
"Pallante, Andre",669467,"STL","FF","4-Seamer",2.4,18,"756",66.4,"217","0.254","0.323","0.311",14,9.7,13,"0.247","0.308","0.298",43.5
"Keller, Mitch",656605,"PIT","FF","4-Seamer",0.6,5,"814",26.1,"215","0.176","0.351","0.279",30.2,43.3,25.8,"0.177","0.338","0.279",41.2
"Medina, Luis",665622,"OAK","FF","4-Seamer",-0.5,-4,"808",41.5,"215","0.272","0.494","0.388",12.1,11.6,12.4,"0.27","0.482","0.378",39.5
"Bradish, Kyle",680694,"BAL","SL","Slider",1.6,14,"824",31.2,"214","0.168","0.272","0.218",36.4,35,24.4,"0.201","0.368","0.266",35.9
"Germán, Domingo",593334,"NYY","CUKC","Curveball",0.7,5,"676",40.9,"212","0.174","0.344","0.27",39.3,36.8,32.5,"0.179","0.32","0.251",35.9
"Finnegan, Kyle",640448,"WSH","FF","4-Seamer",0.8,6,"774",70,"212","0.271","0.441","0.351",21.2,18.9,16.3,"0.287","0.46","0.359",48.7
"Tonkin, Michael",543859,"ATL","SIFT","Sinker",0.4,3,"785",61.2,"209","0.226","0.421","0.303",22.3,23,18.7,"0.251","0.457","0.329",44.5
"Urías, Julio",628711,"LAD","FF","4-Seamer",0.7,6,"833",45.1,"208","0.267","0.503","0.35",21.8,19.7,19.4,"0.279","0.501","0.359",40.7
"Fujinami, Shintaro",660261,"BAL","FF","4-Seamer",-0.9,-7,"791",56.3,"208","0.24","0.383","0.364",25.4,19.2,23.1,"0.229","0.395","0.35",43
"Foley, Jason",671345,"DET","SIFT","Sinker",2.7,20,"726",69.3,"208","0.237","0.323","0.287",15.1,21.6,22.3,"0.255","0.364","0.288",42.9
"Clase, Emmanuel",661403,"CLE","FC","Cutter",0.3,2,"757",67.6,"207","0.267","0.374","0.307",25.8,17.9,19.5,"0.253","0.372","0.29",38.1
"Freeland, Kyle",607536,"COL","SIFT","Sinker",-1.5,-10,"683",28.3,"207","0.353","0.537","0.427",9.1,7.2,11.6,"0.343","0.597","0.425",52
"Schmidt, Clarke",657376,"NYY","FC","Cutter",0,0,"763",28.1,"206","0.283","0.46","0.352",22.2,17.5,14.9,"0.242","0.397","0.306",35.1
"Bickford, Phil",641360,"NYM","FF","4-Seamer",1.4,12,"873",71,"205","0.183","0.29","0.286",30,27.8,21,"0.218","0.38","0.327",39.1
"Wentz, Joey",666214,"DET","FF","4-Seamer",-2.9,-23,"803",41.6,"204","0.374","0.682","0.479",19,17.6,15.7,"0.317","0.625","0.435",57.3
"Hill, Rich",448179,"SD","FF","4-Seamer",-0.3,-3,"865",34.2,"204","0.249","0.454","0.334",21.8,26,23.2,"0.264","0.481","0.349",45.5
"Kelly, Merrill",518876,"AZ","FF","4-Seamer",-0.1,-1,"841",30,"203","0.224","0.489","0.348",26,27.6,22.9,"0.23","0.421","0.33",53.3
"Kremer, Dean",665152,"BAL","FC","Cutter",-0.7,-5,"700",23.9,"203","0.222","0.416","0.322",27.7,22.7,20.5,"0.251","0.468","0.341",38.8
"Gray, Sonny",543243,"MIN","ST","Sweeper",3.3,19,"576",20.4,"203","0.097","0.118","0.115",41.3,53.2,27.3,"0.135","0.197","0.164",34.1
"Blach, Ty",621389,"COL","SIFT","Sinker",-0.9,-6,"695",55,"202","0.322","0.561","0.407",10.2,15.8,17.9,"0.334","0.577","0.416",46.7
"Anderson, Tyler",542881,"LAA","CH","Changeup",0.6,5,"822",33.8,"202","0.238","0.381","0.284",39.8,29.7,22.5,"0.219","0.354","0.267",24.2
"Muller, Kyle",666205,"OAK","FF","4-Seamer",-2.4,-18,"751",51.7,"201","0.395","0.663","0.486",15.9,11.4,12.5,"0.355","0.642","0.46",62.3
"López, Pablo",641154,"MIN","CH","Changeup",0.6,4,"638",21.1,"200","0.257","0.41","0.335",28.4,22.5,21,"0.219","0.331","0.279",36
"Barria, Jaime",642545,"LAA","SL","Slider",-0.5,-3,"684",50.7,"200","0.242","0.452","0.333",26,20,20.5,"0.252","0.436","0.318",32.7
"Nola, Aaron",605400,"PHI","FF","4-Seamer",0.3,2,"908",29.4,"200","0.246","0.503","0.344",21.8,24.5,19.7,"0.221","0.454","0.316",46.3
"Mikolas, Miles",571945,"STL","FF","4-Seamer",-0.1,-1,"828",25.9,"200","0.286","0.476","0.345",18.9,19.5,14.4,"0.274","0.457","0.334",55
"Keller, Mitch",656605,"PIT","SIFT","Sinker",1.6,11,"708",22.7,"199","0.258","0.346","0.309",10.5,18.1,25.9,"0.236","0.342","0.287",35.1
"Miley, Wade",489119,"MIL","FC","Cutter",1.1,9,"829",44.3,"198","0.232","0.446","0.332",17.2,10.6,13.4,"0.273","0.465","0.352",32.3
"Estévez, Carlos",608032,"LAA","FF","4-Seamer",1,8,"753",66.8,"197","0.24","0.339","0.315",28.5,31,21.5,"0.219","0.368","0.31",44.5
"Kirby, George",669923,"SEA","SIFT","Sinker",0.7,4,"609",21.6,"197","0.261","0.383","0.303",13.1,18.3,17.5,"0.281","0.407","0.315",40.5
"Crawford, Kutter",676710,"BOS","FF","4-Seamer",1.1,9,"821",39.1,"196","0.164","0.327","0.272",26,36.7,24.5,"0.177","0.326","0.268",42.6
"Lorenzen, Michael",547179,"PHI","FF","4-Seamer",1.2,10,"822",34.7,"195","0.211","0.333","0.302",17.1,21,17,"0.233","0.456","0.338",48.9
"Mikolas, Miles",571945,"STL","SL","Slider",0.9,7,"776",24.3,"195","0.245","0.375","0.294",22.4,17.9,16.4,"0.247","0.412","0.302",32.5
"McClanahan, Shane",663556,"TB","FF","4-Seamer",0.1,0,"763",41.9,"195","0.269","0.479","0.38",23.3,20,16.1,"0.269","0.477","0.372",46.9
"Gallen, Zac",668678,"AZ","CUKC","Curveball",-0.1,-1,"738",22.7,"195","0.21","0.344","0.268",40.6,39.5,25.1,"0.227","0.361","0.277",47.7
"Williamson, Brandon",682227,"CIN","FF","4-Seamer",-0.4,-3,"720",37.1,"194","0.269","0.433","0.346",17.1,17.5,14.5,"0.275","0.425","0.346",47.1
"Senga, Kodai",673540,"NYM","FC","Cutter",2.3,16,"699",25,"194","0.25","0.351","0.327",18,8.8,16.3,"0.275","0.424","0.35",36.6
"Chirinos, Yonny",630023,"ATL","SIFT","Sinker",-0.6,-4,"633",47.2,"194","0.297","0.491","0.373",11,8.2,13,"0.312","0.504","0.384",50.9
"Severino, Luis",622663,"NYY","FF","4-Seamer",-1.8,-14,"745",45.5,"194","0.349","0.68","0.463",19.6,20.1,15.9,"0.307","0.581","0.406",53.3
"Gray, Sonny",543243,"MIN","FF","4-Seamer",0.7,5,"766",27.2,"194","0.301","0.422","0.37",16.4,8.2,13.3,"0.296","0.424","0.353",39.5
"Lyles, Jordan",543475,"KC","ST","Sweeper",-1.2,-8,"694",24.6,"193","0.281","0.546","0.373",24.9,16.1,14,"0.258","0.46","0.321",25.3
"Sandoval, Patrick",663776,"LAA","CH","Changeup",0.1,1,"675",25.8,"193","0.184","0.33","0.273",43.2,30.6,21.5,"0.22","0.385","0.29",27.5
"Luzardo, Jesús",666200,"MIA","SL","Slider",-0.7,-6,"819",28.4,"192","0.239","0.402","0.301",50.1,51,29.3,"0.171","0.288","0.217",43
"Lugo, Seth",607625,"SD","FF","4-Seamer",0.9,7,"755",31.8,"192","0.247","0.466","0.332",21.5,31.8,23.5,"0.255","0.495","0.342",55.9
"Holmes, Clay",605280,"NYY","SIFT","Sinker",0,0,"709",69.2,"192","0.256","0.339","0.325",17.6,15.6,18.2,"0.25","0.339","0.308",45.3
"Keller, Mitch",656605,"PIT","FC","Cutter",-0.6,-4,"756",24.2,"191","0.318","0.506","0.377",23.6,14.1,23.1,"0.305","0.45","0.351",30.7
"DeSclafani, Anthony",543101,"SF","SL","Slider",0.7,5,"694",44.8,"191","0.257","0.429","0.328",26.9,19.9,22.8,"0.26","0.438","0.319",41.5
"Kimbrel, Craig",518886,"PHI","FF","4-Seamer",1.3,10,"754",67.2,"190","0.185","0.346","0.288",30.6,34.7,26.5,"0.185","0.341","0.294",48
"Alcantara, Sandy",645261,"MIA","CH","Changeup",-0.5,-4,"744",27.3,"190","0.282","0.401","0.331",29.9,19.5,16.2,"0.258","0.375","0.302",40.8
"Ohtani, Shohei",660271,"LAA","ST","Sweeper",1.3,9,"734",35.1,"190","0.142","0.337","0.267",36.5,37.4,30.6,"0.16","0.311","0.258",33.7
"Suárez, Ranger",624133,"PHI","SIFT","Sinker",0,0,"567",28,"188","0.289","0.409","0.365",10,18.6,26.3,"0.267","0.363","0.331",39.1
"Senga, Kodai",673540,"NYM","FO","Forkball",1.7,11,"663",23.7,"188","0.11","0.147","0.195",59.5,58.5,28.3,"0.103","0.149","0.188",22.2
"Garrett, Braxton",666129,"MIA","SL","Slider",1.4,9,"643",25.9,"188","0.168","0.301","0.245",40.7,38.8,22.6,"0.214","0.344","0.275",37
"Schmidt, Clarke",657376,"NYY","SIFT","Sinker",-0.2,-1,"648",23.9,"187","0.288","0.447","0.361",11,11.2,15.8,"0.305","0.483","0.371",52
