"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Ort, Kaleb",672391,"BOS","FF","4-Seamer",-1.5,-4,"276",71.5,"72","0.25","0.483","0.389",17,19.4,21.5,"0.226","0.484","0.341",44
"Burnes, Corbin",669203,"MIL","SL","Slider",0.3,1,"261",8.5,"72","0.162","0.279","0.217",43.3,37.5,21.8,"0.195","0.289","0.234",31.7
"Chapman, Aroldis",547973,"TEX","SIFT","Sinker",3.6,6,"160",15.9,"72","0.097","0.153","0.108",43.7,73.6,38.1,"0.111","0.193","0.13",63.2
"Shreve, Chasen",592741,"CIN","FF","4-Seamer",-1.6,-4,"270",35.9,"72","0.379","0.672","0.464",22.4,20.8,22.7,"0.27","0.541","0.393",46.8
"Martinez, Nick",607259,"SD","CUKC","Curveball",0.4,1,"337",19.2,"71","0.164","0.295","0.266",34.7,25.4,19.6,"0.225","0.354","0.313",25.6
"Wilson, Steven",621051,"SD","FF","4-Seamer",0.4,1,"341",36.4,"71","0.179","0.214","0.285",25.2,23.9,15.6,"0.182","0.279","0.304",35.9
"Ruiz, José",614179,"AZ","CUKC","Curveball",-0.9,-3,"285",34.8,"71","0.328","0.552","0.394",35.4,22.5,16.5,"0.266","0.409","0.312",41.2
"Soriano, José",667755,"LAA","CUKC","Curveball",2.1,6,"276",39.8,"71","0.177","0.226","0.244",47.1,45.1,35.6,"0.164","0.222","0.235",36.7
"King, Michael",650633,"NYY","CH","Changeup",3.3,8,"244",14.5,"71","0.104","0.134","0.151",41,31,22.7,"0.197","0.231","0.217",17.8
"Voth, Austin",608723,"BAL","FF","4-Seamer",0.4,1,"291",43.9,"71","0.279","0.41","0.35",24.3,28.2,23,"0.244","0.388","0.326",33.3
"Kluber, Corey",446372,"BOS","FC","Cutter",-2.5,-7,"271",27.4,"71","0.333","0.75","0.49",18.4,7,7,"0.343","0.759","0.497",47.3
"De Los Santos, Enyel",660853,"CLE","SL","Slider",2.5,8,"319",30.4,"71","0.125","0.25","0.223",47.6,33.8,24,"0.152","0.265","0.23",25
"Cecconi, Slade",677944,"AZ","FF","4-Seamer",0.3,1,"245",58.6,"71","0.265","0.5","0.329",13,11.3,13.3,"0.266","0.556","0.351",54.1
"Martínez, Adrián",661309,"OAK","CH","Changeup",-0.9,-2,"221",23.4,"71","0.323","0.435","0.358",29.9,22.5,21.9,"0.31","0.45","0.367",45.8
"Pruitt, Austin",643493,"OAK","SL","Slider",0.4,1,"286",37.8,"71","0.238","0.365","0.289",24.5,12.7,10.2,"0.249","0.382","0.302",23.2
"Jackson, Jay",543351,"TOR","SL","Slider",3.2,8,"265",59.8,"71","0.116","0.261","0.173",35.4,23.9,20.7,"0.228","0.413","0.283",26.9
"Sánchez, Cristopher",650911,"PHI","SL","Slider",-0.7,-2,"308",21.1,"70","0.25","0.456","0.324",29.7,24.3,23.6,"0.248","0.439","0.304",33.3
"Chirinos, Yonny",630023,"ATL","SL","Slider",-1.5,-5,"346",25.8,"70","0.361","0.705","0.461",15.3,7.1,6.4,"0.357","0.694","0.464",48.3
"Pepiot, Ryan",686752,"LAD","FF","4-Seamer",1.8,6,"331",50.6,"70","0.156","0.344","0.264",22.4,22.9,18.6,"0.21","0.377","0.288",35.4
"Battenfield, Peyton",685410,"CLE","FF","4-Seamer",-2.5,-6,"246",44.6,"70","0.323","0.645","0.447",12.9,7.1,8.3,"0.353","0.698","0.472",59.6
"La Sorsa, Joe",686747,"WSH","SIFT","Sinker",-1.9,-5,"272",50.4,"70","0.383","0.567","0.459",12.4,11.4,12.7,"0.366","0.523","0.431",44.2
"Swanson, Erik",657024,"TOR","FF","4-Seamer",0.4,1,"367",34.7,"70","0.267","0.483","0.368",25.8,21.4,13.8,"0.214","0.356","0.302",37
"Lange, Alex",656638,"DET","SIFT","Sinker",-1,-3,"300",26.2,"70","0.226","0.434","0.384",12.1,10,19.4,"0.309","0.476","0.422",53.2
"Thielbar, Caleb",573204,"MIN","FF","4-Seamer",1.4,3,"251",52.2,"70","0.197","0.424","0.279",21.3,28.6,28.6,"0.207","0.403","0.278",36.2
"Mantiply, Joe",573009,"AZ","SIFT","Sinker",-1.4,-3,"236",41.3,"70","0.308","0.615","0.41",12.4,7.1,16.1,"0.312","0.541","0.387",40
"Quintana, José",500779,"NYM","FF","4-Seamer",-2.2,-7,"301",24.5,"69","0.385","0.585","0.431",21.7,18.8,13.4,"0.341","0.558","0.397",30.2
"Stephan, Trevor",663986,"CLE","SL","Slider",-1.6,-4,"272",24.1,"69","0.317","0.467","0.375",27,14.5,18.9,"0.304","0.465","0.381",39.2
"Clevinger, Mike",605182,"CWS","CH","Changeup",1.5,4,"270",12.9,"69","0.175","0.206","0.214",29.1,18.8,15.9,"0.187","0.226","0.226",12
"Borucki, Ryan",621366,"PIT","SL","Slider",1.1,3,"289",54.7,"69","0.194","0.306","0.297",30.8,18.8,24.5,"0.233","0.314","0.277",32
"Musgrove, Joe",605397,"SD","FC","Cutter",2.1,7,"316",20.4,"69","0.302","0.429","0.341",13,5.8,16,"0.299","0.469","0.353",31.7
"Irvin, Cole",608344,"BAL","FC","Cutter",2.4,5,"203",15.9,"69","0.18","0.279","0.262",26,17.4,22.6,"0.242","0.354","0.298",27.5
"Bernardino, Brennan",657514,"BOS","CUKC","Curveball",-0.8,-3,"369",42.7,"69","0.238","0.349","0.292",35.1,33.3,20,"0.193","0.276","0.246",17.5
"Rom, Drew",680723,"STL","FF","4-Seamer",-1.7,-5,"297",44.3,"69","0.333","0.633","0.472",21.2,29,20.2,"0.307","0.607","0.426",57.5
"Armstrong, Shawn",542888,"TB","SIFT","Sinker",1,3,"272",34.1,"69","0.213","0.262","0.282",20.4,14.5,17.5,"0.278","0.382","0.323",34.6
"Duran, Jhoan",661395,"MIN","CUKC","Curveball",1.4,4,"282",27.7,"69","0.159","0.286","0.223",45.9,53.6,29.8,"0.125","0.208","0.184",25.9
"Teheran, Julio",527054,"MIL","FC","Cutter",0.4,1,"310",28.7,"69","0.219","0.359","0.293",22,20.3,20.3,"0.278","0.47","0.347",36
"Ruiz, José",614179,"AZ","FF","4-Seamer",-2,-5,"257",31.3,"69","0.236","0.491","0.399",33.9,23.2,20.3,"0.22","0.457","0.368",43.6
"Bradley, Taj",671737,"TB","CUKC","Curveball",0.7,2,"304",16.7,"69","0.169","0.338","0.254",22.4,43.5,21.4,"0.203","0.356","0.264",45.7
"Ramirez, Nick",598286,"NYY","SIFT","Sinker",1.4,4,"268",40.7,"69","0.25","0.359","0.29",15.3,14.5,15.6,"0.27","0.398","0.312",41.8
"Lynch IV, Daniel",663738,"KC","CH","Changeup",4.3,10,"225",27.8,"68","0.125","0.156","0.163",34.7,19.1,20.3,"0.207","0.309","0.242",19.2
"Marte, Yunior",628708,"PHI","SL","Slider",0.4,1,"309",44.1,"68","0.234","0.5","0.343",36.4,30.9,24.4,"0.233","0.473","0.323",41.9
"Erceg, Lucas",668674,"OAK","FF","4-Seamer",0.9,3,"288",27.4,"68","0.19","0.328","0.29",19.1,32.4,18,"0.222","0.384","0.322",41.7
"Nelson, Ryne",669194,"AZ","CH","Changeup",-0.9,-3,"313",13.3,"68","0.203","0.407","0.296",31.2,19.1,16.3,"0.213","0.342","0.278",34.7
"Houser, Adrian",605288,"MIL","SL","Slider",-0.7,-2,"308",16.6,"68","0.258","0.484","0.362",28.4,19.1,16.3,"0.242","0.384","0.308",38.8
"Rosenberg, Kenny",670046,"LAA","CH","Changeup",-0.6,-1,"204",37.6,"68","0.258","0.435","0.345",30,23.5,22.9,"0.218","0.386","0.297",30.4
"Graveman, Kendall",608665,"HOU","SL","Slider",-0.5,-2,"298",26.8,"68","0.241","0.431","0.35",37.3,38.2,25.2,"0.179","0.366","0.298",33.3
"La Sorsa, Joe",686747,"WSH","SL","Slider",2.5,6,"244",45.2,"68","0.125","0.172","0.189",31.6,29.4,21.7,"0.175","0.215","0.201",15.9
"Phillips, Evan",623465,"LAD","FC","Cutter",0.8,2,"220",24,"68","0.27","0.429","0.327",13.2,5.9,7.7,"0.318","0.505","0.363",36.1
"Holderman, Colin",670059,"PIT","ST","Sweeper",1.1,3,"276",29.7,"68","0.185","0.277","0.221",37.2,50,23.9,"0.131","0.209","0.17",32.3
"Avila, Pedro",658648,"SD","CH","Changeup",1.6,4,"229",25.6,"67","0.148","0.246","0.205",43.4,38.8,25.7,"0.174","0.262","0.224",38.9
"Strahm, Matt",621381,"PHI","SIFT","Sinker",0.5,1,"257",18.8,"67","0.339","0.452","0.361",15.5,16.4,20.4,"0.314","0.415","0.343",40.4
"Bradford, Cody",674003,"TEX","CH","Changeup",0.7,2,"270",27.7,"67","0.2","0.283","0.24",33.9,20.9,14.1,"0.208","0.3","0.259",20.8
"Ward, Thaddeus",663658,"WSH","SIFT","Sinker",-0.3,-1,"255",37.4,"67","0.25","0.313","0.389",14.7,11.9,19,"0.234","0.346","0.376",42.5
"Mlodzinski, Carmen",669387,"PIT","FF","4-Seamer",1.6,5,"307",49.8,"67","0.193","0.316","0.29",20.4,25.4,17.5,"0.216","0.364","0.315",47.5
"Lyles, Jordan",543475,"KC","CUKC","Curveball",-2,-8,"371",13.2,"67","0.238","0.476","0.313",21.9,29.9,14,"0.251","0.462","0.325",52.3
"Brigham, Jeff",656257,"NYM","FF","4-Seamer",-1.3,-4,"266",39.1,"67","0.228","0.491","0.364",24.2,28.4,19.4,"0.246","0.534","0.374",53.8
"Moreta, Dauri",664294,"PIT","FF","4-Seamer",0.2,0,"254",26.4,"66","0.222","0.426","0.351",17.5,18.2,19.4,"0.236","0.538","0.393",50
"Musgrove, Joe",605397,"SD","SL","Slider",-2.5,-6,"225",14.5,"66","0.281","0.594","0.377",33.9,31.8,22.3,"0.189","0.367","0.248",39.5
