called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
106,605177,"Chafin, Andrew",SL,323,32.8,82,24
35,687830,"Gipson-Long, Sawyer",SL,107,32.7,18,17
112,621381,"Strahm, Matt",SL,342,32.7,55,57
36,664776,"Cousins, Jake",SL,110,32.7,16,20
226,543101,"DeSclafani, Anthony",SL,694,32.6,93,133
283,668933,"Ashcraft, Graham",SL,869,32.6,134,149
56,656271,"Burke, Brock",SL,172,32.6,29,27
411,656302,"Cease, Dylan",SL,1260,32.6,269,142
58,542585,"Cisnero, José",SL,178,32.6,30,28
67,669424,"Lambert, Jimmy",SL,206,32.5,33,34
286,477132,"Kershaw, Clayton",SL,879,32.5,195,91
86,608678,"Leone, Dominic",SL,265,32.5,73,13
179,547179,"Lorenzen, Michael",SL,552,32.4,73,106
126,506433,"Darvish, Yu",SL,389,32.4,42,84
57,663992,"Lovelady, Richard",SL,176,32.4,18,39
159,606303,"Payamps, Joel",SL,490,32.4,48,111
65,682990,"Priester, Quinn",SL,201,32.3,41,24
105,613534,"Adams, Austin",SL,325,32.3,47,58
168,628317,"Maeda, Kenta",SL,521,32.2,72,96
108,641771,"Kuhl, Chad",SL,335,32.2,58,50
91,471911,"Carrasco, Carlos",SL,283,32.2,47,44
66,681217,"Silseth, Chase",SL,205,32.2,30,36
104,621363,"Poche, Colin",SL,324,32.1,68,36
44,677865,"Bruihl, Justin",SL,137,32.1,24,20
176,643511,"Rogers, Tyler",SL,549,32.1,96,80
43,628452,"Iglesias, Raisel",SL,134,32.1,28,15
40,656529,"Hentges, Sam",SL,125,32,20,20
47,665795,"Cabrera, Edward",SL,147,32,15,32
72,641329,"Baker, Bryan",SL,226,31.9,24,48
38,605498,"Suárez, Andrew",SL,119,31.9,18,20
100,592332,"Gausman, Kevin",SL,313,31.9,41,59
114,677053,"Nardi, Andrew",SL,357,31.9,59,55
190,664747,"Díaz, Alexis",SL,598,31.8,120,70
