,pitcher,player_name,pitch_type,pitch_name,p_throws,release_speed,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,spin_axis,release_spin_rate,release_extension,estimated_woba_using_speedangle,woba_value
0,425794,"Wainwright, Adam",CH,Changeup,R,81.5043956043956,-1.3307692307692307,53.99340659340659,6.145384615384615,-13.858021978021979,8.856263736263736,225.4835164835165,1662.5274725274726,6.50989010989011,0.39705555555555555,0.4666666666666667
1,425794,"Wainwright, Adam",CS,Slow Curve,R,65.73333333333333,-1.5199999999999998,54.50666666666667,6.41,14.559999999999999,-15.04,40.333333333333336,2448.6666666666665,6.0,0.796,0.0
2,425794,"Wainwright, Adam",CU,Curveball,R,71.50256880733946,-1.2423853211009175,54.17666055045871,6.286018348623854,16.55735779816514,-13.564844036697249,45.17300380228137,2647.866920152091,6.32319391634981,0.40156000000000003,0.36217948717948717
3,425794,"Wainwright, Adam",FC,Cutter,R,82.86129032258064,-1.2158064516129032,54.01523573200993,6.287071960297767,5.577766749379652,7.679106699751861,171.21818181818182,2322.0779220779223,6.491666666666667,0.3573863636363636,0.38939393939393935
4,425794,"Wainwright, Adam",FF,4-Seam Fastball,R,85.71534090909091,-1.2294318181818182,53.97426136363636,6.250624999999999,-1.8204545454545453,14.828181818181818,201.4702380952381,2158.9880952380954,6.5339285714285715,0.43576470588235294,0.41372549019607846
5,425794,"Wainwright, Adam",SI,Sinker,R,86.88446428571429,-1.2859642857142857,53.956607142857145,6.133267857142857,-13.251,11.168142857142856,208.6067415730337,2167.5805243445693,6.550936329588015,0.48042500000000005,0.499025974025974
6,425794,"Wainwright, Adam",SL,Slider,R,75.8,-1.4371428571428573,54.08142857142857,6.112857142857143,15.565714285714286,-2.16,77.83333333333333,2462.6666666666665,6.416666666666667,0.835,0.9
7,425844,"Greinke, Zack",CH,Changeup,R,86.53271276595744,-1.5067287234042552,54.46973404255319,6.146090425531915,-13.299574468085106,4.2079787234042545,233.36631016042782,1757.0160427807486,6.031117021276596,0.3214516129032258,0.27456140350877195
8,425844,"Greinke, Zack",CS,Slow Curve,R,57.9,-1.52,55.13,6.22,7.800000000000001,-9.36,50.0,1971.0,5.4,,
9,425844,"Greinke, Zack",CU,Curveball,R,72.53510971786834,-1.3134796238244515,54.63843260188088,6.186771159874608,11.442507836990597,-10.722507836990596,53.14779874213836,2410.5974842767296,5.861006289308176,0.42493548387096775,0.48355263157894735
10,425844,"Greinke, Zack",FC,Cutter,R,85.16923076923077,-1.3546794871794872,54.554166666666674,6.322371794871795,6.908461538461538,4.19923076923077,144.5448717948718,2437.1153846153848,5.944230769230769,0.3964761904761905,0.346078431372549
11,425844,"Greinke, Zack",FF,4-Seam Fastball,R,89.54192495921696,-1.3066068515497553,54.47766721044045,6.286949429037521,-2.943621533442088,15.716867862969005,201.41176470588235,2249.8807189542486,6.021533442088091,0.4780695652173913,0.3878378378378378
12,425844,"Greinke, Zack",SI,Sinker,R,89.81380281690141,-1.429718309859155,54.438788732394364,6.18374647887324,-14.851943661971832,9.631774647887324,213.36338028169016,2207.005633802817,6.061408450704226,0.43946052631578947,0.43617021276595747
13,425844,"Greinke, Zack",SL,Slider,R,79.22483660130719,-1.428474945533769,54.61285403050109,6.154596949891068,13.524967320261439,2.4975163398692812,72.73304157549234,2465.347921225383,5.88714596949891,0.3108105263157895,0.25511811023622044
14,434378,"Verlander, Justin",CH,Changeup,R,85.124,-1.7116,54.503519999999995,6.8964799999999995,-15.352319999999999,9.017280000000001,231.248,1819.584,5.998399999999999,0.44168181818181823,0.21034482758620687
15,434378,"Verlander, Justin",CU,Curveball,R,78.19944547134935,-1.5974121996303143,54.54597042513863,6.9646210720887245,6.995046210720888,-13.165619223659888,38.25,2712.6704545454545,5.955637707948244,0.30494565217391306,0.2922480620155039
16,434378,"Verlander, Justin",FF,4-Seam Fastball,R,94.2092939481268,-1.3785518731988473,54.51621037463977,7.035619596541787,-8.02193083573487,18.7721325648415,205.42513167795335,2426.3363431151242,5.983285302593659,0.36355384615384617,0.3191428571428572
17,434378,"Verlander, Justin",SL,Slider,R,86.86760168302945,-1.5569607843137256,54.50759103641456,6.979075630252101,4.328403361344538,3.955798319327731,157.40504451038575,2507.255572065379,5.9929873772791025,0.29968032786885246,0.270049504950495
18,445276,"Jansen, Kenley",FC,Cutter,R,94.27781690140846,-2.4541725352112675,53.67211267605634,6.188802816901408,1.5688732394366198,18.07880281690141,188.5273368606702,2628.4179894179892,6.826760563380281,0.3398369565217391,0.2969387755102041
19,445276,"Jansen, Kenley",SI,Sinker,R,95.31492537313433,-2.0311940298507465,53.55761194029851,6.317462686567164,-10.35223880597015,17.607761194029848,202.83333333333334,2256.060606060606,6.947761194029851,0.43244444444444446,0.3472222222222222
20,445276,"Jansen, Kenley",SL,Slider,R,84.13953488372093,-2.413720930232558,53.723255813953486,6.241046511627907,7.240465116279069,-3.7953488372093025,78.94186046511628,2423.1279069767443,6.774418604651163,0.285125,0.3166666666666667
21,445926,"Chavez, Jesse",CH,Changeup,R,84.75443037974684,-1.7054430379746834,54.09708860759494,5.087974683544304,-15.914430379746836,2.093164556962025,253.02564102564102,1761.3076923076924,6.402564102564102,0.2505,0.21851851851851853
22,445926,"Chavez, Jesse",CU,Curveball,R,75.86363636363636,-1.6442424242424243,54.1360606060606,5.25,16.014545454545456,-7.2254545454545465,62.42424242424242,2590.3636363636365,6.36060606060606,0.10533333333333333,0.1125
