"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Urquidy, José","664353","R","ST","205","80.6","2649","15.5",0.6399003650015294,0.48143056123964156,61.74787061486231,91.03969172511691,"Sweeper","48","240","180",-29.291821110254602,29.29182111025461,"60",4,0,3,0,1,0,"4:00","3:00","+1H 00M"
,"McHugh, Collin","543521","R","ST","484","79.9","2760","17.1",0.7131706130120273,0.5338906446184363,59.2646055789923,81.26944290812719,"Sweeper","53","240","195",-22.004837329134887,22.004837329134887,"45",4,0,3,15,0,45,"4:00","3:15","+0H 45M"
,"Tepera, Ryan","572193","R","ST","22","80.3","2420","15.2",0.639083997966901,0.4992142157909369,65.2982123230157,90.4040158581652,"Sweeper","50","225","180",-25.10580353514949,25.105803535149498,"45",3,45,3,0,0,45,"3:45","3:00","+0H 45M"
,"Ottavino, Adam","493603","R","ST","282","79.6","2675","17.8",0.7272452634767548,0.654531699741303,71.53772884834632,90.63972988926476,"Sweeper","65","210","180",-19.102001040918438,19.10200104091844,"30",3,30,3,0,0,30,"3:30","3:00","+0H 30M"
,"Fujinami, Shintaro","660261","R","ST","83","84.3","2178","12",0.5459528268769615,0.4256381879998053,62.34029040966689,96.8628830091438,"Sweeper","43","240","165",-34.52259259947691,34.5225925994769,"75",4,0,2,45,1,15,"4:00","2:45","+1H 15M"
,"Hand, Brad","543272","L","ST","478","81","2395","15.2",0.6999969190453771,0.5753118376662711,297.58231171799025,277.4969856679561,"Sweeper","58","480","525",20.085326050034155,20.085326050034162,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
,"Lawrence, Justin","664875","R","ST","554","83.8","2978","15.7",0.7022862947116478,0.5142449837899775,83.15187228666016,102.22409052003894,"Sweeper","51","195","150",-19.072218233378777,19.072218233378788,"45",3,15,2,30,0,45,"3:15","2:30","+0H 45M"
,"Ingram, Kolton","688427","L","ST","10","79.8","2652","20",0.831729482843365,0.6612051473568785,298.09326075372036,274.0012750986588,"Sweeper","66","480","525",24.091985655061535,24.091985655061563,"-45",8,0,8,45,0,45,"8:00","8:45","-0H 45M"
,"Leahy, Kyle","681517","R","ST","10","84.2","2580","14.7",0.6410329749390228,0.49335023889246915,63.54180435824581,86.48148661024906,"Sweeper","49","240","180",-22.93968225200325,22.93968225200325,"60",4,0,3,0,1,0,"4:00","3:00","+1H 00M"
,"Sewald, Paul","623149","R","ST","423","83.9","2482","14.3",0.6163188923188836,0.3627365426313831,104.32181376111006,124.8178908688351,"Sweeper","36","150","105",-20.49607710772503,20.496077107725025,"45",2,30,1,45,0,45,"2:30","1:45","+0H 45M"
,"McCaughan, Darren","670766","R","ST","59","80.9","2554","15.5",0.6341196143924827,0.42043528498266286,76.8907744588004,116.33266912635989,"Sweeper","42","210","120",-39.441894667559495,39.441894667559495,"90",3,30,2,0,1,30,"3:30","2:00","+1H 30M"
,"Ohtani, Shohei","660271","R","ST","681","83.6","2504","17.3",0.7338331512624112,0.5773792028169246,69.61147866627233,97.47151673993918,"Sweeper","58","225","165",-27.860038073666843,27.860038073666857,"60",3,45,2,45,1,0,"3:45","2:45","+1H 00M"
,"Lawrence, Casey","596271","R","ST","74","79.9","2385","14.3",0.6283131951807814,0.31342555647773085,92.40440151006199,101.75970663879332,"Sweeper","31","180","150",-9.355305128731331,9.355305128731334,"30",3,0,2,30,0,30,"3:00","2:30","+0H 30M"
