,pitcher,player_name,pitch_type,pitch_name,p_throws,release_speed,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,spin_axis,release_spin_rate,release_extension,estimated_woba_using_speedangle,woba_value
0,405395,"Pujols, Albert",CU,Curveball,R,53.325,-0.91625,55.6825,6.99375,6.39,7.92,138.75,1528.375,4.8125,0.41975,0.725
1,405395,"Pujols, Albert",FA,Other,R,62.373684210526314,-1.0194736842105263,55.91473684210527,7.028421052631579,-4.825263157894737,17.507368421052632,201.05263157894737,1627.7368421052631,4.578947368421052,0.349,0.9
2,424144,"Pérez, Oliver",FF,4-Seam Fastball,L,88.26666666666667,2.2083333333333335,54.35666666666666,5.646666666666666,12.060000000000002,15.060000000000002,135.33333333333334,2133.8333333333335,6.1499999999999995,0.2135,0.625
3,424144,"Pérez, Oliver",SI,Sinker,L,88.38727272727273,2.527090909090909,54.305090909090914,5.340909090909091,17.472,7.605818181818182,127.16363636363636,2131.6363636363635,6.196363636363636,0.33110526315789474,0.425
4,424144,"Pérez, Oliver",SL,Slider,L,76.58148148148148,2.511111111111111,54.434814814814814,5.314444444444445,-9.364444444444445,-1.715555555555556,297.3703703703704,2255.8518518518517,6.062962962962962,0.37033333333333335,0.3
5,425794,"Wainwright, Adam",CH,Changeup,R,82.19362745098039,-1.3147058823529412,54.08112745098039,6.223823529411765,-14.22470588235294,7.962941176470588,225.37,1761.095,6.42,0.3081282051282051,0.2755813953488372
6,425794,"Wainwright, Adam",CS,Slow Curve,R,67.66060606060607,-1.290909090909091,54.36636363636364,6.383030303030303,15.85818181818182,-14.701818181818181,39.81818181818182,2567.090909090909,6.133333333333334,0.41333333333333333,0.4166666666666667
7,425794,"Wainwright, Adam",CU,Curveball,R,72.90448979591837,-1.068234693877551,54.213724489795915,6.3872857142857145,16.07118367346939,-14.864938775510204,42.67044284243048,2774.0185375901133,6.286419753086419,0.337175,0.282
8,425794,"Wainwright, Adam",FC,Cutter,R,84.29539227895391,-1.1282565379825653,54.06544209215443,6.316214196762142,6.288567870485679,6.109090909090909,158.42910915934755,2409.757841907152,6.434253450439147,0.3630119760479042,0.3472772277227723
9,425794,"Wainwright, Adam",FF,4-Seam Fastball,R,87.96066666666667,-1.1443,53.99096666666667,6.2889,-1.3840000000000001,15.068000000000001,197.23825503355704,2232.201342281879,6.508724832214765,0.35628260869565215,0.38243243243243247
10,425794,"Wainwright, Adam",SI,Sinker,R,88.56073008849557,-1.121504424778761,53.99220132743363,6.228053097345133,-13.009247787610619,12.137787610619469,205.56438969764838,2198.6707726763716,6.507278835386338,0.4354363636363636,0.2948717948717949
11,425794,"Wainwright, Adam",SL,Slider,R,75.26666666666667,-2.1366666666666667,53.98,5.78,18.560000000000002,-5.08,55.666666666666664,2682.6666666666665,6.5,,
12,425844,"Greinke, Zack",CH,Changeup,R,86.50081967213114,-1.805928961748634,54.57816939890711,6.138743169398908,-12.811475409836067,3.857049180327869,229.14794520547946,1641.3917808219178,5.921857923497268,0.30616470588235295,0.3389423076923077
13,425844,"Greinke, Zack",CU,Curveball,R,72.01389521640091,-1.6683143507972664,54.64662870159453,6.153485193621868,12.417949886104784,-11.163006833712984,51.642369020501135,2430.3029612756263,5.853530751708428,0.30955555555555553,0.27657342657342654
