called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
62,642546,"Hernández, Jonathan",SL,185,33.5,32,30
302,668881,"Greene, Hunter",SL,901,33.5,165,137
169,571479,"Bellatti, Andrew",SL,505,33.5,102,67
247,664141,"Brubaker, JT",SL,739,33.4,166,81
113,656412,"Faedo, Alex",SL,338,33.4,58,55
182,672710,"Contreras, Roansy",SL,547,33.3,127,55
186,579328,"Kikuchi, Yusei",SL,559,33.3,113,73
35,660825,"Bazardo, Eduard",SL,105,33.3,20,15
263,656945,"Scott, Tanner",SL,791,33.2,146,117
91,521230,"Hendriks, Liam",SL,274,33.2,79,12
127,605521,"Warren, Art",SL,382,33.2,66,61
120,593423,"Montas, Frankie",SL,363,33.1,57,63
53,621366,"Borucki, Ryan",SL,160,33.1,34,19
42,543101,"DeSclafani, Anthony",SL,127,33.1,20,22
164,666200,"Luzardo, Jesús",SL,495,33.1,85,79
169,621076,"Kaprielian, James",SL,512,33,92,77
68,663574,"Santillan, Tony",SL,206,33,28,40
53,669212,"Morgan, Eli",SL,161,32.9,32,21
297,663903,"Singer, Brady",SL,903,32.9,165,132
63,663559,"Falter, Bailey",SL,192,32.8,35,28
108,643493,"Pruitt, Austin",SL,329,32.8,54,54
170,608331,"Fried, Max",SL,519,32.8,70,100
48,664294,"Moreta, Dauri",SL,147,32.7,22,26
278,669456,"Bieber, Shane",SL,849,32.7,191,87
42,640448,"Finnegan, Kyle",SL,129,32.6,25,17
142,518553,"Cishek, Steve",SL,436,32.6,57,85
233,645261,"Alcantara, Sandy",SL,714,32.6,110,123
38,658551,"Fernández, Junior",SL,117,32.5,22,16
87,669920,"Alexander, Jason",SL,269,32.3,27,60
127,622694,"Hernández, Elieser",SL,395,32.2,74,53
97,669203,"Burnes, Corbin",SL,301,32.2,74,23
39,542947,"Bleier, Richard",SL,121,32.2,22,17
119,680739,"Winder, Josh",SL,371,32.1,56,63
298,607074,"Rodón, Carlos",SL,929,32.1,170,128
279,641771,"Kuhl, Chad",SL,870,32.1,166,113
135,519326,"Strickland, Hunter",SL,420,32.1,68,67
32,671790,"Bolaños, Ronald",SL,100,32,19,13
189,471911,"Carrasco, Carlos",SL,590,32,117,72
70,678394,"Bello, Brayan",SL,219,32,20,50
104,628708,"Marte, Yunior",SL,325,32,56,48
250,477132,"Kershaw, Clayton",SL,786,31.8,182,68
42,445276,"Jansen, Kenley",SL,132,31.8,14,28
